problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt,20,75,2,optimal,True,1.637,1637.0,53.223
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt,20,75,2,largest_gap,True,1.838,1838.0,225.684
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-2.txt,20,75,2,traversal,True,1.748,1747.55,280.684
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt,20,75,3,optimal,True,1.496,1495.54,644.612
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt,20,75,3,largest_gap,True,1.659,1658.55,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-3.txt,20,75,3,traversal,True,1.635,1634.53,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt,20,75,4,optimal,True,1.191,1190.74,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt,20,75,4,largest_gap,True,1.341,1340.51,2093.22
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-4.txt,20,75,4,traversal,True,1.283,1282.51,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt,20,75,5,optimal,True,1.664,1664.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt,20,75,5,largest_gap,True,1.855,1855.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-5.txt,20,75,5,traversal,True,1.802,1802.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt,20,75,6,optimal,False,1.469,1462.61,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt,20,75,6,largest_gap,True,1.673,1672.67,1241.79
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-6.txt,20,75,6,traversal,True,1.552,1551.53,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt,20,75,7,optimal,True,1.796,1795.8,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt,20,75,7,largest_gap,True,1.986,1985.83,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-7.txt,20,75,7,traversal,True,1.987,1986.68,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt,20,75,8,optimal,False,1.39,1381.96,674.289
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt,20,75,8,largest_gap,True,1.529,1528.56,2538.53
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-8.txt,20,75,8,traversal,False,1.601,1538.82,1375.77
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt,20,75,9,optimal,False,1.461,1460.06,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt,20,75,9,largest_gap,False,1.688,1677.11,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-9.txt,20,75,9,traversal,False,1.641,1624.39,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt,20,30,0,optimal,True,3.743,3743.0,57.477
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt,20,30,0,largest_gap,True,3.94,3940.0,31.839
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-0.txt,20,30,0,traversal,True,4.612,4612.0,189.114
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt,20,30,1,optimal,True,3.45,3450.0,300.995
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt,20,30,1,largest_gap,True,3.671,3671.0,28.023
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-1.txt,20,30,1,traversal,True,4.053,4053.0,33.53
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt,20,30,2,optimal,True,3.207,3207.0,176.742
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt,20,30,2,largest_gap,True,3.44,3440.0,101.876
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-2.txt,20,30,2,traversal,True,3.885,3885.0,13.057
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt,20,30,3,optimal,True,3.877,3877.0,111.363
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt,20,30,3,largest_gap,True,4.02,4020.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-3.txt,20,30,3,traversal,True,4.769,4769.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt,20,30,4,optimal,True,2.922,2922.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt,20,30,4,largest_gap,True,3.103,3103.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-4.txt,20,30,4,traversal,True,3.465,3465.0,2249.65
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt,20,30,5,optimal,True,3.448,3448.0,2498.47
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt,20,30,5,largest_gap,True,3.627,3627.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-5.txt,20,30,5,traversal,True,4.091,4091.0,3600.0
